# AI4E_Vis 错误记录

# 格式：日期 | 模块/链路 | 现象 | 根因 | 修复 | 验证。禁止记录密钥、用户数据和大段堆栈。

2026-08-29 | 后端测试入口 | 从仓库根执行 `pytest backend/tests` 时 16 个模块在收集阶段无法导入 | Python 模块根是 `backend/`，命令未按 CI 工作目录执行 | 文档统一要求先进入 `backend/` 再运行 pytest | 正确入口复验 `82 passed, 1 skipped`
2026-08-29 | Excel功能32移动端时序E2E | Trame工具栏的“下一帧”按钮位于390px iframe可视区外，直接点击和元素scrollIntoView均失败 | 外层页面与iframe的移动端宽度约束使按钮不能由Playwright直接触达，方向键滑块替代操作仍可用 | 桌面端继续点击下一帧按钮；移动端改测聚焦滑块后ArrowRight，并在功能矩阵记录按钮限制 | 移动端专项E2E通过，按钮限制保留为partial
2026-08-29 | 后端全量回归/维护计划测试 | 沙箱内全量测试为106通过、1失败、1跳过，maintenance子进程无法只读打开backend/state旧SQLite | SQLite只读查询仍需要在数据库目录创建锁/临时状态，当前仓库对普通沙箱调用不可写 | 保持维护脚本非破坏语义不变，在获批仓库写权限环境复跑全量测试 | 107 passed，1 skipped
2026-08-29 | 前端Vitest启动 | 普通沙箱无法写node_modules/.vite-temp，Vitest在收集前EPERM退出 | Vite必须生成临时配置模块，仓库对普通沙箱调用不可写 | 在获批仓库写权限环境复跑，不修改业务代码规避正常缓存机制 | 13 passed
2026-08-29 | Excel报告管理完整E2E | 桌面和移动项目共用隔离服务后，同名测试报告及副本累计，移动端精确单元素断言发生3项匹配 | 专项单独运行时数据库为空掩盖了跨项目数据累计，业务查询本身正确 | 报告标题加入项目名，并用本次创建的report_id定位唯一行 | 完整E2E 31 passed，1 skipped
2026-08-29 | 便携清单只读校验 | 从仓库根调用`.venv/bin/python`时命令不存在 | Python虚拟环境实际位于`backend/.venv`，校验命令遗漏`backend/`前缀 | 改用`backend/.venv/bin/python backend/scripts/create_portable_bundle.py --check-only` | 校验结果`ok=true`，未发现机器依赖目录
2026-08-29 | 总体架构文档导航 | 提交前链接审计发现多个入口仍指向不存在的`docs/migration/PLAN.md` | 总体计划已移动为`docs/architecture/architecture.md`，引用和门禁未同步 | 统一修正AGENTS、Context、PRD变更记录、迁移README及架构测试中的目标路径 | 架构测试和Markdown相对链接门禁复验通过
2026-08-29 | README与AGENTS入口审计命令 | 合并命令中的反引号破坏zsh双引号，命令在执行测试前报`unmatched quote` | 搜索模式混用了shell双引号与Markdown反引号 | 将文本搜索改为安全单引号并分别执行审计与测试 | AGENTS单入口、断链和架构门禁复验通过
2026-08-29 | README架构门禁 | 新增README测试未找到连续文本`var/db/ai4e_vis.sqlite3` | README目录树将`var/`与`db/ai4e_vis.sqlite3`分行展示，语义正确但精确门禁不可识别 | 在持久化说明中补充完整数据库相对路径，保留目录树 | 后端架构测试复验通过

2026-09-14 三维对象工作台浏览器修复：宿主→Vis→Trame 生命周期回调携带状态参数，刷新回调未接收导致就绪后退出；改为接收状态并在刷新成功后发布会话。Trame 裸地址身份在对象销毁/新建时被复用，客户端出现 LookupTable.setMapper 和错误相机；本地序列化改为随 native 对象生命周期稳定且不复用的身份，相机与 renderer 有界保留。坐标轴投影补齐、Probe 几何注记和时间文字进入真实渲染。静止 WebGL 没有媒体首帧导致录制等待，原视角重绘后启动。验证：本地/远程浏览器鼠标隔离、保存重开、MP4/WebM 解码及 VTK 回归；证据见 phys-workbench-acceptance。

2026-09-14 | 本地相机与 Probe 标签 | 标准视图切换后服务器和浏览器朝向不同，小视口标签被裁切 | vtk.js 场景同步仅初始化相机一次，标签未约束投影范围 | 显式按层和视口同步相机，场景加载后重放；标签世界几何按视口缩放定位，引线保持采样锚点 | 本地相机一致性浏览器断言、长标签投影范围测试和导出验证。

2026-09-14 | 真实 CFD Probe 重开与导出 | 已保存 Probe 字段列表为空、点数为 0；CSV 按钮进入后仍默认 PNG | Probe 自身没有网格，元信息未回溯输入；导出事件未区分明确 CSV 操作 | Probe 始终读取输入元信息，增加受允许的 export_csv 事件，由共享 React 弹窗预选 CSV | 真实 ShapeNet/NASA 浏览器回归覆盖重新打开、字段列表与 CSV 数值下载。

2026-09-14 | NASA CRM 大模型恢复相机与输出 | 分屏/PNG 出现机翼被截断和 Probe 标签缺失；CSV 标量被包为列表文本 | 设置保存相机后保留了重置前的裁剪范围，单分量采样列表未解包 | 依据可见网格重算裁剪面并同步本地渲染，联动采用合并边界；CSV 标量解包为数值 | 远距相机真实 VTK 用例、浏览器包围盒裁剪断言和真实 CSV 数值复核。
